RefSeq ID,Gene symbol,hsa-miR-16-5p,hsa-miR-106b-5p,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-215-5p,hsa-let-7c-5p,hsa-miR-103a-3p
NM_000309,PPOX,0.066,-0.055,0.051,0.012,-0.203,-0.013,0.044
NM_000312,PROC,-0.031,-0.015,0.114,-0.181,-0.045,-0.018,0.014
NM_000317,PTS,-0.034,0.093,-0.056,-0.07,-0.641,0.043,0.011
NM_000320,QDPR,0.111,0.134,-0.036,-0.039,-0.004,0.2,0.067
NM_000321,RB1,0.132,-0.138,-0.175,0.092,-0.604,-0.301,-0.052
NM_000325,PITX2,0.066,0.156,-0.526,0.032,-0.122,0.071,-0.014
NM_000327,ROM1,0.276,-0.335,0.167,0.153,-0.023,0.059,N/A
NM_000328,RPGR,-0.008,0.034,-0.335,-0.074,0.129,-0.013,0.164
NM_000332,ATXN1,0.724,-0.05,-0.224,0.344,0.094,-0.27,0.307
NM_000333,ATXN7,-0.048,-0.205,0.051,0.063,-0.074,-0.088,-0.058
NM_000342,SLC4A1,-0.236,0.003,0.05,-0.145,0.242,-0.004,0.097
NM_000345,SNCA,-0.076,-0.049,-0.15,-0.135,0.007,0.072,0.144
NM_000346,SOX9,0.168,0.026,-0.072,-0.085,-0.047,0.108,0.333
NM_000347,SPTB,-0.135,0.124,0.113,0.044,-0.149,0.006,N/A
NM_000352,ABCC8,-0.043,-0.053,N/A,N/A,0.04,0.006,0.023
NM_000356,TCOF1,-0.066,0.043,0.077,0.013,0.026,-0.044,0.079
NM_000359,TGM1,-0.023,0.033,N/A,N/A,0.547,0.109,N/A
NM_000363,TNNI3,0.175,-0.026,0.102,-0.185,-0.007,-0.016,0.093
NM_000365,TPI1,-0.024,0.028,0.188,-0.187,-0.059,-0.116,N/A
NM_000374,UROD,0.095,0.09,-0.193,-0.04,0.304,0.087,-0.004
NM_000375,UROS,0.078,-0.066,0.333,-0.189,-0.008,-0.093,0.334
NM_000380,XPA,-0.063,0.189,0.217,0.216,0.167,0.037,0.269
NM_000386,BLMH,-0.337,0.125,0.16,-0.269,-0.213,0.093,-0.431
NM_000387,SLC25A20,0.11,-0.002,0.186,-0.098,-0.102,-0.148,-0.083
NM_000389,CDKN1A,-0.007,-0.602,-0.698,-0.099,2.059,-0.243,0.088
NM_000391,TPP1,0.104,-0.059,-0.344,0.188,0.346,-0.378,-0.012
NM_000392,ABCC2,-0.058,0.037,0.202,-0.029,0.455,0.048,0.196
NM_000395,CSF2RB,N/A,N/A,0.035,-0.087,0.137,-0.04,-0.016
NM_000400,ERCC2,0.164,-0.066,0.072,-0.365,0.05,-0.062,N/A
NM_000405,GM2A,0.167,0.387,-0.127,-0.084,-0.016,0.395,0.003
NM_000408,GPD2,0.095,-0.223,0.057,0.143,-0.329,-0.014,-0.102
NM_000411,HLCS,-0.066,-0.012,-0.045,-0.04,0.116,-0.028,-0.024
NM_000414,HSD17B4,0.045,0.039,0.073,0.097,-0.101,0.133,0.012
NM_000416,IFNGR1,0.179,0.004,0.165,0.055,0.082,-0.015,0.044
NM_000418,IL4R,-0.008,-0.004,0.181,0.063,-0.029,0.247,-0.099
NM_000419,ITGA2B,-0.029,0.01,-0.081,-0.092,0.364,0.016,0
NM_000421,KRT10,-0.13,0.102,-0.252,-0.177,0.105,0.043,0.099
NM_000430,PAFAH1B1,-0.172,-0.024,0.068,0.059,-0.659,-0.088,0.099
NM_000435,NOTCH3,0.062,-0.093,0.247,0.004,0.055,0.04,0.096
NM_000436,OXCT1,0.215,-0.058,0.08,0.12,-0.285,0.142,-0.159
NM_000455,STK11,-0.036,-0.202,0.037,-0.021,0.318,-0.092,0.14
NM_000458,HNF1B,0.126,-0.109,-0.252,-0.471,-0.244,-0.03,0.174
NM_000462,UBE3A,-0.071,-0.091,-0.102,0.169,0.085,0.021,0.027
NM_000465,BARD1,-0.12,-0.133,-0.003,0.092,-0.59,0.025,0.025
NM_000466,PEX1,0.051,0.093,0.084,0.075,-0.123,-0.019,0.209
NM_000474,TWIST1,-0.012,-0.063,-0.162,0.042,-0.186,0.179,0.073
NM_000476,AK1,-0.15,-0.038,-0.048,-0.118,0.107,0.007,0.25
NM_000479,AMH,-0.184,0.003,-0.26,0.327,0.315,0.254,0.041
NM_000480,AMPD3,-0.067,-0.444,-0.131,-0.047,-0.02,-0.026,-0.173
NM_000490,AVP,-0.137,0,0.002,-0.111,0.179,0.085,N/A
NM_000491,C1QB,-0.103,-0.072,-0.026,-0.009,0.037,-0.001,-0.051
NM_000493,COL10A1,-0.038,N/A,-0.034,-0.11,0.09,-0.057,0.027
NM_000505,F12,0.107,-0.079,-0.092,-0.107,-0.21,-0.006,0.048
NM_000512,GALNS,-0.024,0.075,-0.051,-0.167,0.179,-0.104,0.031
NM_000517,HBA2,N/A,0.029,-0.158,N/A,-0.056,0.036,0.276
NM_000520,HEXA,-0.259,-0.077,-0.054,-0.016,0.06,0.118,-0.098
NM_000521,HEXB,0.143,0.079,0.1,0.027,-0.145,-0.009,-0.049
NM_000522,HOXA13,-0.191,-0.071,0.262,0.353,N/A,N/A,N/A
NM_000527,LDLR,-0.146,-0.456,0.131,0.06,-0.367,-0.102,0.281
NM_000528,MAN2B1,-0.045,0.049,0.046,-0.048,0.36,0.006,-0.029
NM_000532,PCCB,0.063,0.075,0.128,0.049,0.237,0.096,0.008
NM_000533,PLP1,-0.056,0.122,0.011,-0.053,0.125,0.087,0.033
NM_000535,PMS2,0.152,-0.049,-0.043,-0.023,0.091,0.23,-0.27
NM_000542,SFTPB,-0.07,0.009,-0.008,-0.072,0.063,0.004,0.001
NM_000553,WRN,0.065,0.016,-0.094,0.145,0.072,-0.025,0.016
NM_000558,HBA1,N/A,0.033,-0.102,N/A,-0.028,0.089,0.231
NM_000574,CD55,0.034,-0.053,-0.453,0.376,0.206,0.189,0.032
NM_000578,SLC11A1,N/A,N/A,0.057,-0.047,0.151,-0.004,N/A
NM_000582,SPP1,N/A,0.296,-0.162,N/A,-0.159,0.161,N/A
NM_000597,IGFBP2,-0.022,0.048,0.052,-0.242,-0.018,0.108,0.07
NM_000602,SERPINE1,0.916,-0.802,-0.702,-0.49,-0.005,0.137,-0.221
NM_000609,CXCL12,-0.052,-0.082,N/A,N/A,0.08,-0.006,N/A
NM_000617,SLC11A2,-0.696,0.121,-0.534,0.429,-0.053,-0.178,-0.115
NM_000629,IFNAR1,-0.083,-0.015,0,-0.044,0.045,-0.124,N/A
NM_000636,SOD2,-0.152,0.009,0.105,0.109,-0.123,0.032,0.113
NM_000637,GSR,-0.067,0.065,-0.035,0.024,0.084,-0.212,-0.04
NM_000644,AGL,0.199,0.077,-0.009,0.119,-0.163,-0.096,0.073
NM_000658,AIRE,-0.1,0.013,0.09,-0.113,0.358,-0.046,-0.031
NM_000662,NAT1,-0.032,-0.028,0.065,N/A,N/A,N/A,0.076
NM_000666,ACY1,0.187,-0.072,-0.089,0.061,0.152,0.211,-0.081
NM_000671,ADH5,0.043,0.108,0.132,-0.16,0.072,-0.237,0.105
NM_000676,ADORA2B,-0.053,-0.04,0.028,0.099,0.089,0.151,0.032
NM_000687,AHCY,-0.135,0.142,0.084,-0.043,0.17,0.043,0.035
NM_000690,ALDH2,-0.146,0.257,0.459,-0.125,0.159,0.15,-0.144
NM_000693,ALDH1A3,0.263,-0.349,0.516,-0.486,0.292,0.101,0.337
NM_000696,ALDH9A1,-0.032,-0.465,-0.024,-0.096,-0.396,0.299,0.279
NM_000700,ANXA1,0.099,0.104,0.041,0.213,0.197,0.229,N/A
NM_000701,ATP1A1,-0.019,-0.02,-0.03,-0.127,0.167,0.071,0.103
NM_000709,BCKDHA,0.047,0.027,-0.011,-0.111,0.26,0.153,0.029
NM_000712,BLVRA,0.013,-0.088,0.194,-0.063,-0.212,0.145,0.023
NM_000713,BLVRB,-0.134,-0.078,-0.007,-0.009,0.411,0.043,0.051
NM_000714,TSPO,0.145,-0.062,0.046,-0.155,0.058,0.086,0.121
NM_000723,CACNB1,-0.027,-0.118,N/A,0.052,0.024,-0.026,0.171
NM_000729,CCK,0.296,-0.075,-0.203,0.011,0.278,-0.307,-0.248
NM_000738,CHRM1,N/A,N/A,0.039,-0.049,0.115,N/A,0.148
NM_000746,CHRNA7,-0.259,-0.264,-0.152,-0.147,-0.057,0.122,0.191
NM_000747,CHRNB1,0.009,-0.011,-0.007,-0.239,0.074,-0.143,-0.052
NM_000748,CHRNB2,N/A,N/A,N/A,-0.058,0.027,0.016,0.008
NM_000751,CHRND,-0.07,-0.184,-0.065,0.178,0.182,0.029,N/A
NM_000754,COMT,-0.161,0.029,0.155,-0.205,0.176,-0.221,-0.095
NM_000770,CYP2C8,-0.027,-0.141,-0.044,-0.009,0.013,-0.004,N/A
NM_000775,CYP2J2,0.282,-0.027,-0.203,0.085,-0.002,0.233,N/A
NM_000778,CYP4A11,-0.148,-0.154,0.143,-0.071,-0.012,0.013,0.105
NM_000784,CYP27A1,-0.016,-0.09,N/A,N/A,0.139,-0.118,0.059
NM_000785,CYP27B1,0.013,-0.051,0.022,-0.037,0.039,-0.13,0.296
NM_000786,CYP51A1,-0.075,0.016,0.1,-0.273,-0.396,-0.14,0.391
NM_000788,DCK,0.134,0.045,-0.057,0.323,-0.58,0.092,-0.085
NM_000801,FKBP1A,0.077,-0.012,-0.283,0.135,0.037,-0.022,0.109
NM_000805,GAST,-0.059,-0.047,0.051,-0.012,0.125,0.136,N/A
NM_000817,GAD1,-0.091,-0.111,0.331,0.055,-0.101,0.317,N/A
NM_000819,GART,-0.143,-0.013,-0.038,0.118,0.17,-0.07,0.217
NM_000836,GRIN2D,-0.033,-0.068,0.116,-0.066,0.407,-0.1,0.057
NM_000852,GSTP1,-0.2,-0.086,0.094,-0.113,0.128,-0.093,0.15
NM_000858,GUK1,-0.131,0.082,0.183,-0.147,-0.008,0.095,-0.008
NM_000871,HTR6,-0.023,-0.081,-0.021,-0.021,0.082,-0.034,0.012
NM_000876,IGF2R,-0.133,-0.067,0.109,-0.099,N/A,-0.037,-0.249
NM_000877,IL1R1,-0.215,0.054,0.157,0.203,-0.855,0.222,0.099
NM_000882,IL12A,0.33,-0.349,-0.178,-0.092,0.218,0.041,-0.239
NM_000884,IMPDH2,N/A,0.062,-0.042,N/A,0.202,-0.114,0.137
NM_000894,LHB,-0.017,-0.038,-0.019,-0.091,0.104,-0.058,0.035
NM_000895,LTA4H,0.096,0.024,0.009,0.13,0.133,-0.005,0.106
NM_000898,MAOB,0.235,-0.295,0.232,0.135,-0.122,0.351,0.189
NM_000904,NQO2,-0.001,0.038,0.029,-0.15,-0.096,0.01,0.133
NM_000908,NPR3,-0.043,0.101,-0.054,0.058,0.151,0.028,-0.155
NM_000913,OPRL1,0.194,N/A,0.543,0.042,-0.066,N/A,N/A
NM_000915,OXT,-0.041,0.004,0.028,-0.105,0.088,-0.009,0.059
NM_000925,PDHB,0.022,0.155,N/A,-0.004,-0.067,-0.036,0.046
NM_000927,ABCB1,0.058,0.097,-0.141,0.101,-0.044,0.213,0.127
NM_000930,PLAT,0.301,-0.17,-0.358,-0.199,0.009,-0.09,0.042
NM_000935,PLOD2,0.22,0.106,-0.047,-0.044,-0.329,0.084,0.019
NM_000937,POLR2A,0.052,-0.232,-0.351,0.12,0.307,-0.235,0.074
NM_000938,POLR2B,0.101,-0.051,-0.092,0.074,0.13,-0.127,0.06
NM_000940,PON3,0.197,0.167,-0.083,0.244,-0.068,0.158,0.075
NM_000941,POR,-0.126,0.023,0.11,-0.153,0.088,-0.15,0.202
NM_000942,PPIB,-0.14,0.081,0.184,-0.056,-0.122,-0.031,0.186
NM_000943,PPIC,0.529,-0.005,0.29,0.041,-0.43,0.118,-0.086
NM_000945,PPP3R1,0.658,0.397,-0.295,-0.348,-0.903,0.074,-0.118
NM_000946,PRIM1,-0.032,-0.042,-0.074,0.133,-0.434,-0.089,0.036
NM_000951,PRRG2,0.15,-0.075,0.205,0.052,0.038,0.031,-0.013
NM_000954,PTGDS,-0.061,-0.002,N/A,N/A,0.115,-0.038,0.01
NM_000966,RARG,-0.03,0.075,0.093,-0.042,0,0.049,-0.104
NM_000969,RPL5,0.13,0.013,-0.144,0.396,0.321,0.059,N/A
NM_000976,RPL12,0.015,0.028,-0.042,0.27,0.195,0.076,N/A
NM_000979,RPL18,-0.029,0.097,-0.004,-0.083,0.36,-0.083,N/A
NM_000985,RPL17,-0.008,0.073,-0.248,-0.136,0.327,0.002,N/A
NM_000986,RPL24,-0.116,0.163,-0.136,0.071,0.281,0.052,N/A
NM_000992,RPL29,0.046,0.164,-0.043,0.002,0.245,0.064,N/A
NM_000996,RPL35A,0.041,0.08,-0.192,0.036,0.303,0.047,N/A
NM_000997,RPL37,N/A,N/A,0.099,0.198,0.106,0.081,N/A
NM_000998,RPL37A,-0.082,0.138,-0.093,0.237,0.349,0.114,N/A
NM_001001,RPL36AL,0.061,0.076,-0.109,0.192,0.079,0.053,-0.137
NM_001001323,ATP2B1,0.07,N/A,-0.087,0.099,N/A,N/A,0.102
NM_001001329,PRKCSH,-0.149,0.018,0.008,0.077,0.164,0.106,0.119
NM_001001330,REEP3,-0.136,-0.137,-0.223,0.366,0.222,0.326,0.036
NM_001001392,CD44,0.164,-0.063,-0.116,-0.12,-0.178,0.376,0.179
NM_001001433,STX16,0.097,-0.072,-0.071,0.195,0.329,-0.042,-0.125
NM_001001483,ZDHHC13,0.104,-0.109,-0.003,0.318,-0.279,-0.097,-0.095
NM_001001484,PTER,0.165,0.259,0.031,0.174,-0.341,0.197,0.324
NM_001001502,SNCB,0.012,-0.239,0,-0.021,0.124,-0.033,N/A
NM_001001503,NDUFV3,0.013,0.07,0.147,-0.054,0.07,-0.137,0.025
NM_001001521,UGP2,0.52,0.033,-0.014,-0.165,-0.245,-0.048,-0.635
NM_001001552,LEMD1,-0.114,-0.135,0.55,-0.418,N/A,N/A,N/A
NM_001001555,GRB10,0.226,0.521,0.231,-0.346,0.229,0.247,0.499
NM_001001556,GALK2,0.045,-0.094,0.165,0.152,-0.097,0.062,0.041
NM_001001563,TIMM50,-0.13,0.025,-0.113,-0.03,0.083,0.034,0.069
NM_001001573,PDE9A,0.099,0.077,0.077,-0.216,N/A,0.23,0.003
NM_001001683,MED11,-0.488,0.063,0.068,-0.133,0.426,0.1,-0.509
NM_001001894,TTC3,0.324,-0.034,0.213,0.139,-0.197,-0.032,-0.035
NM_001001924,MTUS1,0.069,-0.486,-0.199,-0.347,-0.258,-0.281,0.415
NM_001001928,PPARA,-0.021,-0.195,0.264,-0.408,0.122,0.223,0.457
NM_001001973,ATP5C1,0.024,0.092,0.035,0.013,0.092,-0.012,0.086
NM_001001974,PLEKHA1,-0.255,0.068,0.407,0.299,-0.182,-0.088,-0.437
NM_001001976,ATE1,-0.17,0.134,-0.972,0.149,0.074,0.234,0.031
NM_001001977,ATP5E,0.065,-0.06,-0.059,0.126,0.078,0.08,N/A
NM_001001992,USP16,-0.04,-0.147,-0.274,0.104,0.389,-0.205,0.082
NM_001001998,EXOSC10,-0.084,-0.111,-0.024,0.126,-0.116,-0.005,-0.084
NM_001002002,GMPR2,0.045,-0.026,0.074,0.005,0.25,-0.579,-0.037
NM_001002017,HCFC1R1,-0.041,-0.06,0.008,-0.081,0.037,-0.076,0.083
NM_001002027,ATP5G1,0.214,0.011,-0.06,0.07,0.106,0.041,-0.249
NM_001002031,ATP5G2,-0.121,0.003,-0.113,-0.046,0.309,-0.127,0.045
NM_001002231,KLK2,-0.034,-0.027,-0.022,-0.014,0.089,0.047,0.026
NM_001002252,ARL6IP4,-0.062,-0.011,0.062,-0.223,0.056,-0.01,0.108
NM_001002262,ZFYVE27,0.036,-0.003,-0.004,0.067,0.16,0.036,-0.058
NM_001002266,8-Mar,-0.107,-0.092,-0.108,0.005,0.208,-0.077,0.132
NM_001002269,EXOSC3,-0.059,0.065,0.207,0.016,-0.579,0.083,0.094
NM_001002296,GOLGA7,0.007,0.133,-0.067,0.212,-0.014,-0.093,0.356
NM_001002814,RAB11FIP1,-0.091,-0.423,0.219,0.039,-0.37,0.048,0.047
NM_001002913,PTRH1,-0.071,-0.097,-0.017,-0.055,0.191,0.01,0.19
NM_001002926,TWISTNB,-0.01,0.194,-0.019,-0.422,0.055,0.252,-0.179
NM_001003396,TPD52L1,0.257,-0.005,0.11,-0.479,-0.138,0.019,0.101
NM_001003398,BICD1,-0.059,-0.139,-0.25,-0.435,0.33,0.022,0.141
NM_001003652,SMAD2,-0.074,0.098,0.004,-0.507,-0.063,-0.112,0.139
NM_001003688,SMAD1,0.104,-0.058,0.073,0.069,-0.449,0.149,0.152
NM_001003694,BRPF1,0.009,0.011,0.072,-0.096,-0.042,0.048,-0.021
NM_001003698,RREB1,-0.117,-0.003,-0.093,0.138,0.198,0.173,0.238
NM_001003712,OSBPL8,0.215,0.077,-0.106,0.054,-0.926,0.138,0.325
NM_001003785,ATP5H,0.047,0.016,0.069,0.056,-0.082,0.035,0.133
NM_001003794,MGLL,0.115,-0.154,-0.119,-0.016,0.211,0.04,-0.26
NM_001003796,NHP2L1,N/A,N/A,-0.122,N/A,0.117,0.038,0.126
NM_001003802,SMARCD3,-0.052,0.014,-0.034,-0.191,-0.007,-0.096,0.311
NM_001003845,SP5,-0.493,0.001,0.204,0.145,-0.298,0.303,-0.852
NM_001004051,GPRASP2,0.21,-0.154,-0.045,-0.298,-0.454,0.254,0.093
NM_001004358,FGFRL1,-0.51,0.089,0.264,0.044,0.122,-0.066,-1.143
NM_001005242,PKP2,0.15,0.055,0.128,0.166,0.035,-0.132,-0.008
NM_001005291,SREBF1,-0.362,0.118,0.053,-0.194,0.08,-0.059,0.278
NM_001005354,PRR13,-0.114,0.049,-0.094,0.154,0.027,-0.125,0.006
NM_001005362,DNM2,-0.204,-0.076,-0.022,-0.169,0.059,-0.036,0.12
NM_001005368,ZNF32,0.057,-0.026,0.235,0.224,-0.047,0.219,0.029
NM_001005369,MTIF2,N/A,0.011,0.027,0.123,-0.052,-0.101,-0.034
NM_001005374,LRSAM1,-0.135,-0.074,0.13,-0.112,0.143,-0.148,0.041
NM_001005409,SF3A1,0.161,0.051,-0.013,0.126,-0.17,0.028,0.04
NM_001005416,2-Mar,0.183,-0.12,0.136,0.02,-0.022,0.17,0.062
NM_001005476,PKP4,0.073,-0.001,0.327,0.075,-0.563,0.01,-0.03
NM_001005735,CHEK2,-0.122,-0.022,0.129,0.222,-0.095,0.015,0.069
NM_001005741,GBA,0.003,-0.124,-0.305,0.025,-0.041,-0.038,0.192
